epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0923,1.66987,3.89016,1.86892,0.00443,0.49663,0.11739,0.06286,1.36187,4.03134,1.63349,0.0001,0.0001,0.0001
2,23.1348,1.33163,3.57372,1.57738,0.00549,0.55433,0.12317,0.06046,1.4466,4.01334,1.62709,0.000191463,0.000191463,0.000191463
3,33.2055,1.27254,3.36721,1.52387,0.00799,0.60433,0.19539,0.10565,1.45854,3.93534,1.65762,0.00026065,0.00026065,0.00026065
4,42.6325,1.2602,3.08867,1.50431,0.01001,0.6351,0.20294,0.12021,1.41106,3.89112,1.53322,0.000307563,0.000307563,0.000307563
5,52.3509,1.2291,2.74394,1.51851,0.01066,0.77981,0.36619,0.19736,1.39225,3.67508,1.46273,0.0003322,0.0003322,0.0003322
6,62.2715,1.23869,2.49966,1.47566,0.01056,0.78606,0.4618,0.28966,1.36443,3.52718,1.38066,0.000334563,0.000334563,0.000334563
7,72.3368,1.24911,2.28695,1.48888,0.01035,0.81106,0.52973,0.3055,1.29681,3.48367,1.36027,0.00031465,0.00031465,0.00031465
8,82.628,1.18286,2.2114,1.44194,0.9153,0.26763,0.60267,0.35877,1.43625,3.31601,1.4347,0.000272463,0.000272463,0.000272463
9,92.8416,1.1094,2.02755,1.37434,0.95282,0.44272,0.60548,0.38244,1.41375,3.12801,1.46601,0.000208,0.000208,0.000208
10,102.784,1.10792,2.01911,1.36006,0.89553,0.47338,0.60349,0.38571,1.43021,2.98048,1.49157,0.000121262,0.000121262,0.000121262
