epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3928,1.5218,3.46738,1.60937,0.00845,0.6601,0.16061,0.09077,1.34728,3.82181,1.36515,0.0001,0.0001,0.0001
2,23.5274,1.32493,3.29402,1.49497,0.0129,0.78606,0.22477,0.13927,1.37372,3.68908,1.33862,0.000201981,0.000201981,0.000201981
3,33.7672,1.3302,3.04528,1.47936,0.01582,0.74183,0.33965,0.20376,1.4386,3.74984,1.40094,0.000292825,0.000292825,0.000292825
4,43.9852,1.31973,2.8464,1.47255,0.01014,0.68558,0.33428,0.20784,1.45278,3.69077,1.47582,0.000372531,0.000372531,0.000372531
5,54.3763,1.32149,2.59804,1.50006,0.00799,0.72404,0.39428,0.2349,1.49034,3.66921,1.53582,0.0004411,0.0004411,0.0004411
6,65.3214,1.2686,2.2373,1.42138,0.00829,0.77981,0.48536,0.27,1.48517,3.52129,1.58182,0.000498531,0.000498531,0.000498531
7,76.1397,1.28273,2.04319,1.47131,0.6997,0.15554,0.30563,0.15765,1.69956,3.69654,1.80968,0.000544825,0.000544825,0.000544825
8,87.1829,1.33683,1.95861,1.50407,0.72583,0.39215,0.50413,0.25353,1.6805,3.20804,1.71855,0.000579981,0.000579981,0.000579981
9,98.0335,1.25575,1.85859,1.45853,0.53905,0.35385,0.41372,0.2327,1.68158,3.1388,1.77166,0.000604,0.000604,0.000604
10,109.482,1.25075,1.75825,1.42575,0.40101,0.25374,0.3188,0.167,1.65768,3.31109,1.7936,0.000616881,0.000616881,0.000616881
11,121.127,1.16839,2.05538,1.38076,0.31137,0.27212,0.30211,0.17043,1.60606,3.27638,1.81113,0.000618625,0.000618625,0.000618625
12,132.114,1.09741,1.84613,1.35766,0.46983,0.10192,0.11834,0.0704,1.77034,3.73829,2.00834,0.000569375,0.000569375,0.000569375
13,143.087,1.08891,1.85882,1.38434,0.31056,0.26261,0.28224,0.14464,1.59806,3.17839,1.73528,0.0005075,0.0005075,0.0005075
14,153.96,1.09733,1.77523,1.35764,0.7279,0.51307,0.50191,0.26096,1.58446,2.80038,1.77624,0.000445625,0.000445625,0.000445625
15,164.582,1.06383,1.68705,1.25968,0.63126,0.54668,0.57009,0.31133,1.58494,2.55376,1.72176,0.00038375,0.00038375,0.00038375
16,175.664,1.02564,1.65036,1.30441,0.67642,0.58796,0.59531,0.3549,1.60575,2.35412,1.59465,0.000321875,0.000321875,0.000321875
17,186.036,0.99447,1.59039,1.28352,0.70495,0.58677,0.58778,0.34018,1.62614,2.408,1.61476,0.00026,0.00026,0.00026
18,196.776,0.99321,1.55403,1.26127,0.69764,0.63798,0.63708,0.35459,1.62175,2.35861,1.57387,0.000198125,0.000198125,0.000198125
19,208.028,0.9441,1.50026,1.19452,0.72631,0.64499,0.66213,0.38556,1.61932,2.27995,1.58463,0.00013625,0.00013625,0.00013625
20,219.443,0.93591,1.52662,1.23594,0.79222,0.63603,0.68249,0.40749,1.55411,2.18222,1.53964,7.4375e-05,7.4375e-05,7.4375e-05
